Symbol,Price,Volume,PE Ratio,50DMA,200DMA
RELIANCE,,,,,
TCS,,,,,
INFY,16.56,9000222.0,21.506493,17.801800003051756,19.45377673149109
HDFCBANK,,,,,
ICICIBANK,,,,,
SBIN,,,,,
BHARTIARTL,,,,,
HINDUNILVR,,,,,
KOTAKBANK,,,,,
LT,,,,,
AAPL,231.59,54864147.0,35.089394,209.37538391113281,220.5072583770752
MSFT,520.17,22434808.0,38.16361,501.8035998535156,437.07749938964844
GOOGL,203.9,34785039.0,21.73774,184.0411312866211,176.52040229797365
AMZN,231.03,39378104.0,35.217987,221.13820098876954,211.3000001525879
META,785.23,11277795.0,28.491655,723.7954357910156,638.2841581726075
TSLA,330.56,72949844.0,195.59763,319.32799865722654,326.5574496459961
NVDA,180.45,150295195.0,58.20968,163.49801147460937,136.85747882843017
JPM,290.49,7301669.0,14.904566,285.12365478515625,255.41685386657716
V,344.47,4088373.0,33.672535,350.37227722167967,335.39453125
UNH,304.01,67495749.0,13.160606,288.34949584960935,440.6930290222168
CBA,,,,0.025699999816715717,0.031399999703280626
BHP,54.15,2534202.0,12.087054,50.83580024719238,49.81238082885742
WBC,,,,,
NAB,,,,,
ANZ,,,,,
WES,38.45,1428548.0,11.83077,38.444822769165036,37.494554595947264
MQG,,,,,
CSL,381.42,393754.0,21.368067,386.2300012207031,382.50397750854495
FMG,,,,,
WOW,5.07,1136169.0,,3.9404000091552733,4.503099999427795
